Recency,Frequency,Monetary
173.43865011953662,18.030736698597327,84636.90543382903
259.6518677520672,23.059241801177933,45403.789372819025
227.87441486408346,26.828733986855195,66638.00554621991
206.88213736157724,25.015999387928986,99977.6530432328
163.84980127779014,18.533095553512098,73011.79599635191
118.31171375093656,18.999253687545327,14764.38202022835
241.4955399552798,29.432485730990557,11848.390824969523
99.90924219619005,18.724579859537087,45832.430908118375
193.5576944109431,27.671767781376474,33929.03031030852
234.78351847682788,18.170096056189628,8982.372458281872
194.39858205295528,28.67343941617394,79013.47342454083
200.6104433755611,28.622867119827788,73639.85176756518
148.973030607878,16.842191463006532,82213.47116605377
274.0557551590845,9.703884893263133,26569.393670890317
180.03706657564263,26.544083260043134,69109.01915143456
42.82928565082388,42.67354760245855,16697.311889594544
181.82047018749938,35.579983310516795,71516.39879342065
354.3815854565785,24.69708982325284,4024.1289070681364
197.3539590856927,26.053974911952203,87686.29536884373
264.9927850076179,27.49726860054145,46819.926488623445
199.03000299525917,23.362858117088226,96703.0496374693
129.60559456051493,38.02835823428025,24052.232330547507
223.83613553130886,25.98917224481059,56314.3456755312
120.0001836646333,23.48296081438516,57348.670642199584
216.7615878075223,26.14972531951988,77794.40003062093
202.58694460011398,24.846446851025952,82482.58708165021
177.18380254069024,42.47638404768418,27530.87041147865
203.02369902398073,22.011623175864013,78088.37665530818
193.5115710208567,24.67394812583424,99214.88146081536
219.3776082030996,37.08074329459852,55741.99697033019
227.55596224238013,31.60509518146041,32380.967501447565
182.67688063217577,26.24017290232774,91693.0704534205
172.7164480326146,35.93160003492644,22856.52445773413
170.04289542647328,28.042595258469245,62960.960722766366
184.6292214045395,30.208593005134368,90727.39401449657
168.47611951227822,31.79134547694046,68109.05727588612
170.55337142689834,29.774161430166927,79045.28806305963
165.05251635450716,21.9807188557649,91145.13733955564
180.76788083507267,20.68937830851083,19911.259412773587
192.15974011808532,35.425310201826846,47846.070803913346
212.59341614885295,22.090386377567565,53280.334049108606
180.28378172397768,25.605246522290223,84790.02674688544
312.32278091411473,33.94901694850085,11579.381936615462
197.8775741498992,23.409878190466358,50498.81509863663
268.781344614637,38.41697410925245,24835.03579492673
189.35248887267912,25.520294525497004,99019.15338652625
149.44710865999403,31.12578833122684,2384.094757525923
